avg_load,max_load,proc_cpu,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level
37,81,615.0,19.279656683364543,25,1,4.01,1.55,0.68,2.63,0.0,13826592,1396884.0,160.0,0.0,172032.0,3
66,88,645.0,19.83434832649603,6,0,4.01,1.55,0.68,2.63,0.0,13782476,1482756.0,163.0,0.0,180224.0,3
51,92,645.0,21.336857497354632,6,1,4.01,1.55,0.68,2.63,0.0,13787044,1722048.0,169.0,0.0,323584.0,3
37,97,592.0,21.78797942774241,1,0,4.01,1.55,0.68,2.63,0.0,2,0.0,536576.0,3.0,1764010693.720024,2
14,100,520.0,15.222477820565972,1,0,3.68,1.53,0.68,1.91,0.0,9519596,542132.0,78.0,4096.0,90112.0,3
40,67,674.0,16.73586280904409,5,1,3.68,1.53,0.68,1.91,0.0,10966372,880192.0,94.0,4096.0,118784.0,3
41,91,676.0,17.639004673109337,14,1,3.68,1.53,0.68,1.91,0.0,12214748,1070460.0,112.0,4096.0,126976.0,3
43,96,579.0,17.96001590463604,5,0,3.68,1.53,0.68,1.75,0.0,12222000,1116232.0,112.0,4096.0,126976.0,3
18,90,557.0,18.37983244256396,63,0,3.68,1.53,0.68,1.75,0.0,13553460,1219436.0,159.0,4096.0,155648.0,3
44,87,653.0,19.262893955290416,11,1,3.68,1.53,0.68,1.75,0.0,13834160,1381384.0,166.0,4096.0,172032.0,3
65,93,669.0,19.945700734417027,7,0,3.68,1.53,0.68,1.75,0.0,13788444,1505624.0,171.0,4096.0,212992.0,3
43,89,647.0,20.951838586902028,4,0,3.68,1.53,0.68,2.7,0.0,13799892,1673544.0,181.0,4096.0,442368.0,3
0,2,109.0,14.237517878996051,2,0,3.47,1.52,0.68,2.21,0.0,5064768,114828.0,18.0,0.0,0.0,3
3,21,598.0,15.427322348757532,11,0,3.47,1.52,0.68,2.21,0.0,9860604,650608.0,80.0,0.0,135168.0,3
46,73,605.0,17.25116703010855,6,1,3.47,1.52,0.68,1.81,0.0,11102600,956728.0,96.0,0.0,155648.0,3
39,72,598.0,17.79550669087284,5,0,3.47,1.52,0.68,1.81,0.0,11483204,1080304.0,101.0,0.0,155648.0,3
36,64,533.0,17.9442509579949,4,0,3.47,1.52,0.68,1.81,0.0,11494816,1123232.0,101.0,0.0,180224.0,3
20,98,556.0,18.712767162214817,68,0,8.88,2.67,1.06,1.81,0.0,13826268,1314976.0,158.0,0.0,192512.0,3
89,95,695.0,19.429772899956944,8,1,8.88,2.67,1.06,2.2,0.0,13778452,1393336.0,161.0,0.0,204800.0,3
48,98,700.0,20.39792022438108,7,0,8.88,2.67,1.06,2.2,0.0,13786104,1569576.0,168.0,0.0,258048.0,3
37,89,678.0,21.47048537576698,1,0,8.88,2.67,1.06,2.2,0.0,13789188,1769212.0,162.0,0.0,614400.0,3
5,20,404.0,14.675518983540105,5,0,8.88,2.67,1.06,3.11,0.0,4761052,212792.0,45.0,30449664.0,32768.0,3
36,92,498.0,15.731121850565266,7,0,8.57,2.71,1.08,3.11,0.0,6317508,465588.0,76.0,35737600.0,262144.0,3
57,73,694.0,17.303775056162618,13,0,8.57,2.71,1.08,3.11,0.0,6945616,795008.0,100.0,39100416.0,327680.0,3
63,96,716.0,19.13747282916435,18,1,8.57,2.71,1.08,2.72,0.0,7104832,1051660.0,105.0,42250240.0,335872.0,3
82,89,735.0,19.667968272546,11,0,8.57,2.71,1.08,2.72,0.0,7216604,1171204.0,108.0,43274240.0,339968.0,3
45,97,684.0,20.07882972211288,7,0,8.57,2.71,1.08,2.72,0.0,7239408,1223348.0,109.0,52838400.0,978944.0,3
47,80,647.0,20.82092966289455,6,0,8.57,2.71,1.08,2.72,0.0,7252544,1310916.0,115.0,53854208.0,987136.0,3
42,96,628.0,21.76610306982425,6,0,8.57,2.71,1.08,3.5,0.0,7310124,1414996.0,119.0,56008704.0,1077248.0,3
62,94,669.0,22.765979843817277,20,1,8.57,2.71,1.08,3.5,0.0,7504744,1571060.0,175.0,72290304.0,1155072.0,3
67,92,651.0,23.237581238117045,1,0,8.57,2.71,1.08,3.5,0.0,7861636,1649940.0,171.0,83968000.0,1253376.0,3
8,25,600.0,15.662299876225216,7,0,7.88,2.67,1.08,4.49,0.0,5287016,284496.0,65.0,0.0,28672.0,3
37,94,580.0,16.627653412637,13,0,7.88,2.67,1.08,3.68,0.0,6570424,546360.0,83.0,0.0,282624.0,3
64,82,711.0,19.23712624978361,9,0,7.88,2.67,1.08,3.68,0.0,7058072,936620.0,103.0,0.0,307200.0,3
65,91,745.0,20.156332394919897,26,1,7.88,2.67,1.08,3.68,0.0,7140240,1083132.0,111.0,0.0,307200.0,3
76,92,734.0,20.726215260368576,7,0,7.88,2.67,1.08,3.68,0.0,7232804,1195176.0,114.0,69632.0,311296.0,3
44,88,685.0,21.40286073914651,10,0,7.88,2.67,1.08,4.46,0.0,7257676,1291616.0,119.0,69632.0,548864.0,3
52,78,656.0,21.93487779921345,4,0,7.88,2.67,1.08,4.46,0.0,7307676,1361656.0,119.0,69632.0,561152.0,3
38,91,671.0,23.240699305095124,16,0,7.73,2.72,1.1,4.46,0.0,7440680,1532496.0,174.0,4849664.0,581632.0,3
83,98,708.0,24.125606713472592,2,0,7.73,2.72,1.1,4.46,0.0,7875148,1707000.0,170.0,16379904.0,729088.0,3
0,2,66.6,15.213572621276594,2,1,7.73,2.72,1.1,4.18,0.0,4003588,58460.0,17.0,0.0,0.0,2
8,36,547.0,16.153482731147296,4,0,7.73,2.72,1.1,4.18,0.0,5502164,327148.0,65.0,0.0,49152.0,3
37,93,650.0,17.35995015083961,14,0,7.73,2.72,1.1,4.18,0.0,6819408,620272.0,88.0,0.0,282624.0,3
65,97,705.0,19.590665156025576,9,2,7.83,2.83,1.14,4.18,0.0,7106412,998908.0,107.0,0.0,307200.0,3
63,97,754.0,20.26005177487856,21,1,7.83,2.83,1.14,3.6,0.0,7150140,1120908.0,113.0,0.0,307200.0,3
78,98,727.0,20.79760652189856,7,0,7.83,2.83,1.14,3.6,0.0,7238476,1221724.0,114.0,0.0,544768.0,3
42,92,672.0,21.494432130158597,7,0,7.83,2.83,1.14,3.6,0.0,7261848,1310476.0,119.0,0.0,548864.0,3
49,95,648.0,22.083098231083188,10,0,7.83,2.83,1.14,4.21,0.0,7317356,1357820.0,123.0,0.0,565248.0,3
44,90,650.0,22.54704165288481,51,1,7.83,2.83,1.14,4.21,0.0,7554836,1424276.0,192.0,675840.0,593920.0,3
70,94,706.0,23.753558961648768,9,0,7.83,2.83,1.14,4.21,0.0,7493848,1640904.0,193.0,1343488.0,663552.0,3
0,1,368.0,15.61325891879406,11,0,7.2,2.78,1.14,4.9,0.0,4679332,171512.0,43.0,0.0,28672.0,3
11,35,541.0,16.820699175383535,5,0,7.2,2.78,1.14,4.01,0.0,6293684,451608.0,70.0,4096.0,143360.0,3
34,82,697.0,18.191850420589816,13,0,7.2,2.78,1.14,4.01,0.0,6949152,757752.0,100.0,4096.0,303104.0,3
